zipcode,month,year,customerclass,combined,totalcustomers,totalkwh,averagekwh,year-month,prcp,tmax,tmin
94102,Aug,2013,Elec- Residential,N,10078,2908527,289,2013-08,0.0012903225806451613,66.61290322580645,56.064516129032256
94102,Sep,2013,Elec- Residential,N,10113,2823420,279,2013-09,0.013000000000000001,70.23333333333333,56.666666666666664
94102,Oct,2013,Elec- Residential,N,10214,3119339,305,2013-10,0.0,67.7741935483871,51.806451612903224
94102,Nov,2013,Elec- Residential,N,10243,3211796,314,2013-11,0.042,64.5,50.9
94102,Dec,2013,Elec- Residential,N,10400,3948746,380,2013-12,0.012580645161290323,58.645161290322584,44.903225806451616
94102,Jan,2014,Elec- Residential,N,10439,3487015,334,2014-01,0.001935483870967742,64.0,48.903225806451616
94102,Feb,2014,Elec- Residential,N,10472,3265324,312,2014-02,0.20785714285714288,59.5,49.357142857142854
94102,Mar,2014,Elec- Residential,N,10510,3195714,304,2014-03,0.09516129032258065,64.70967741935483,51.903225806451616
94102,Apr,2014,Elec- Residential,N,10558,3064138,290,2014-04,0.053000000000000005,64.76666666666667,51.0
94102,May,2014,Elec- Residential,N,10560,2967478,281,2014-05,0.000967741935483871,67.64516129032258,53.03225806451613
94102,Jun,2014,Elec- Residential,N,10553,2863742,271,2014-06,0.0003333333333333333,66.5,53.03333333333333
94102,Jul,2014,Elec- Residential,N,10563,2912485,276,2014-07,0.0025806451612903226,68.45161290322581,57.064516129032256
94102,Aug,2014,Elec- Residential,N,10553,2922860,277,2014-08,0.0003225806451612903,67.61290322580645,58.193548387096776
94102,Sep,2014,Elec- Residential,N,10546,2878541,273,2014-09,0.018333333333333333,69.9,59.166666666666664
94102,Oct,2014,Elec- Residential,N,10564,3007381,285,2014-10,0.014838709677419354,72.6774193548387,57.74193548387097
94102,Nov,2014,Elec- Residential,N,10621,3103807,292,2014-11,0.07633333333333334,65.6,54.03333333333333
94102,Dec,2014,Elec- Residential,N,10644,3563242,335,2014-12,0.3774193548387097,60.58064516129032,52.0
94102,Jan,2015,Elec- Residential,N,10680,3651161,342,2015-01,0.0,61.87096774193548,48.96774193548387
94102,Feb,2015,Elec- Residential,N,10724,2965024,276,2015-02,0.0525,65.92857142857143,52.857142857142854
94102,Mar,2015,Elec- Residential,N,10803,3178499,294,2015-03,0.0038709677419354843,67.45161290322581,52.45161290322581
94102,Apr,2015,Elec- Residential,N,10847,3162675,292,2015-04,0.04333333333333333,63.733333333333334,50.333333333333336
94102,May,2015,Elec- Residential,N,10922,3293772,302,2015-05,0.0029032258064516127,60.25806451612903,51.096774193548384
94102,Jun,2015,Elec- Residential,N,11010,2972129,270,2015-06,0.004,66.5,53.96666666666667
94102,Jul,2015,Elec- Residential,N,11004,3029868,275,2015-07,0.002903225806451613,69.06451612903226,58.774193548387096
94102,Aug,2015,Elec- Residential,N,11081,3078478,278,2015-08,0.0006451612903225806,71.7741935483871,60.225806451612904
94102,Sep,2015,Elec- Residential,N,11144,3040311,273,2015-09,0.003,74.0,58.13333333333333
94102,Oct,2015,Elec- Residential,N,11154,3188465,286,2015-10,0.0,72.90322580645162,58.25806451612903
94102,Nov,2015,Elec- Residential,N,11161,3533676,317,2015-11,0.04766666666666666,61.9,49.56666666666667
94102,Dec,2015,Elec- Residential,N,11239,4207810,374,2015-12,0.16709677419354838,56.354838709677416,46.903225806451616
94102,Jan,2016,Elec- Residential,N,11249,4144783,368,2016-01,0.2238709677419355,57.67741935483871,49.645161290322584
94102,Feb,2016,Elec- Residential,N,11282,3214007,285,2016-02,0.033793103448275866,66.3103448275862,50.86206896551724
94102,Mar,2016,Elec- Residential,N,11374,3412574,300,2016-03,0.2203225806451613,62.064516129032256,51.54838709677419
94102,Apr,2016,Elec- Residential,N,11395,3131755,275,2016-04,0.048666666666666664,66.16666666666667,52.96666666666667
94102,May,2016,Elec- Residential,N,11432,3141233,275,2016-05,0.004838709677419356,64.83870967741936,52.83870967741935
94102,Jun,2016,Elec- Residential,N,11536,2986214,259,2016-06,0.0,67.13333333333334,53.43333333333333
94102,Jul,2016,Elec- Residential,N,11677,3115009,267,2016-07,0.0006451612903225806,65.16129032258064,53.41935483870968
94102,Aug,2016,Elec- Residential,N,11756,3145604,268,2016-08,0.0006451612903225806,65.03225806451613,55.25806451612903
94102,Sep,2016,Elec- Residential,N,11824,3067010,259,2016-09,0.0,69.2,55.233333333333334
94102,Oct,2016,Elec- Residential,Y,11887,3256554,274,2016-10,0.07838709677419355,67.90322580645162,56.064516129032256
94102,Nov,2016,Elec- Residential,Y,11989,3402251,284,2016-11,0.07366666666666667,64.13333333333334,53.233333333333334
94102,Dec,2016,Elec- Residential,Y,12011,4286497,357,2016-12,0.14161290322580644,56.903225806451616,46.25806451612903
94102,Jan,2017,Elec- Residential,N,12070,4527333,375,2017-01,0.3038709677419355,56.0,45.774193548387096
94102,Feb,2017,Elec- Residential,N,12121,3537376,292,2017-02,0.2714285714285714,59.142857142857146,49.642857142857146
94102,Mar,2017,Elec- Residential,N,12091,3515038,291,2017-03,0.1267741935483871,63.74193548387097,50.225806451612904
94102,Apr,2017,Elec- Residential,N,12124,3218006,265,2017-04,0.075,64.36666666666666,51.0
94102,May,2017,Elec- Residential,N,12135,3213872,265,2017-05,0.0,65.03225806451613,51.25806451612903
94102,Jun,2017,Elec- Residential,N,12160,3018293,248,2017-06,0.0033333333333333335,67.26666666666667,54.13333333333333
94102,Jul,2017,Elec- Residential,N,12212,3105149,254,2017-07,0.0,67.16129032258064,54.0
94102,Aug,2017,Elec- Residential,N,12191,3125367,256,2017-08,0.0003225806451612903,67.54838709677419,56.83870967741935
94102,Sep,2017,Elec- Residential,N,12170,3135993,258,2017-09,0.0033333333333333335,75.86666666666666,59.833333333333336
94102,Oct,2017,Elec- Residential,N,12182,3268672,268,2017-10,0.01,72.41935483870968,54.516129032258064
94102,Nov,2017,Elec- Residential,N,12142,3336387,275,2017-11,0.09433333333333334,63.93333333333333,52.96666666666667
94102,Dec,2017,Elec- Residential,N,12128,3856514,318,2017-12,0.004838709677419355,60.70967741935484,48.064516129032256
94102,Jan,2018,Elec- Residential,N,12223,3952613,323,2018-01,0.16806451612903225,59.516129032258064,49.25806451612903
94102,Feb,2018,Elec- Residential,N,12204,3487204,286,2018-02,0.007777777777777778,63.0,48.03703703703704
94102,Mar,2018,Elec- Residential,N,12241,3828909,313,2018-03,0.1464516129032258,61.645161290322584,47.83870967741935
94102,Apr,2018,Elec- Residential,N,12267,3342527,272,2018-04,0.13033333333333336,62.333333333333336,50.3
94102,May,2018,Elec- Residential,N,12329,3341068,271,2018-05,0.0012903225806451613,62.32258064516129,52.0
94102,Jun,2018,Elec- Residential,N,12416,3119965,251,2018-06,0.0003333333333333333,66.46666666666667,53.1
94102,Jul,2018,Elec- Residential,N,12511,3209817,257,2018-07,0.0,65.90322580645162,55.03225806451613
94102,Aug,2018,Elec- Residential,N,12540,3253766,259,2018-08,0.0,66.03225806451613,54.87096774193548
94102,Sep,2018,Elec- Residential,N,12548,3194805,255,2018-09,0.0,66.26666666666667,54.56666666666667
94102,Oct,2018,Elec- Residential,N,12589,3328262,264,2018-10,0.0067741935483870966,69.09677419354838,55.45161290322581
94102,Nov,2018,Elec- Residential,N,12590,3447569,274,2018-11,0.11866666666666667,65.8,52.36666666666667
94102,Dec,2018,Elec- Residential,N,12603,3972824,315,2018-12,0.07032258064516128,58.74193548387097,49.225806451612904
94102,Jan,2019,Elec- Residential,N,12618,4091617,324,2019-01,0.16548387096774192,59.935483870967744,49.903225806451616
94102,Feb,2019,Elec- Residential,N,12598,4085362,324,2019-02,0.2835714285714286,55.07142857142857,45.607142857142854
94102,Mar,2019,Elec- Residential,N,12592,3830296,304,2019-03,0.13903225806451613,61.354838709677416,49.064516129032256
94102,Apr,2019,Elec- Residential,N,12639,3293125,261,2019-04,0.014333333333333333,63.9,51.93333333333333
94102,May,2019,Elec- Residential,N,12627,3390942,269,2019-05,0.06258064516129033,61.12903225806452,51.70967741935484
94102,Jun,2019,Elec- Residential,N,12669,3195847,252,2019-06,0.0,68.8,55.3
94102,Jul,2019,Elec- Residential,N,12682,3210372,253,2019-07,0.0,66.3225806451613,54.96774193548387
94102,Aug,2019,Elec- Residential,N,12730,3267641,257,2019-08,0.0,70.61290322580645,57.83870967741935
94102,Sep,2019,Elec- Residential,N,12698,3237709,255,2019-09,0.004,72.3,57.9
94102,Oct,2019,Elec- Residential,N,12735,3379006,265,2019-10,0.0003225806451612903,71.6774193548387,54.54838709677419
94102,Nov,2019,Elec- Residential,N,12733,3617912,284,2019-11,0.048666666666666664,63.766666666666666,49.86666666666667
94102,Dec,2019,Elec- Residential,N,12704,4153261,327,2019-12,0.15838709677419355,57.774193548387096,49.354838709677416
94102,Jan,2020,Elec- Residential,N,12727,4256527,334,2020-01,0.07903225806451614,57.645161290322584,48.0
94102,Feb,2020,Elec- Residential,N,12745,3583522,281,2020-02,0.0,63.689655172413794,49.03448275862069
94102,Mar,2020,Elec- Residential,N,12701,4068494,320,2020-03,0.0464516129032258,60.29032258064516,48.774193548387096
94102,Apr,2020,Elec- Residential,N,12618,3870496,307,2020-04,0.024,62.2,50.766666666666666
94102,May,2020,Elec- Residential,N,12534,3626118,289,2020-05,0.01903225806451613,67.25806451612904,53.29032258064516
94102,Jun,2020,Elec- Residential,N,12320,3368372,273,2020-06,0.0,67.8,54.833333333333336
94102,Jul,2020,Elec- Residential,N,12176,3411037,280,2020-07,0.000967741935483871,66.0,54.87096774193548
94102,Aug,2020,Elec- Residential,N,12013,3475639,289,2020-08,0.0003225806451612903,70.06451612903226,56.74193548387097
94102,Sep,2020,Elec- Residential,N,11826,3393536,287,2020-09,0.0,72.93333333333334,58.13333333333333
94102,Oct,2020,Elec- Residential,N,11760,3520593,299,2020-10,0.0003225806451612903,73.87096774193549,56.483870967741936
94102,Nov,2020,Elec- Residential,N,11731,3781419,322,2020-11,0.01633333333333333,62.9,49.333333333333336
94102,Dec,2020,Elec- Residential,N,11719,4232129,361,2020-12,0.0667741935483871,59.54838709677419,47.225806451612904
94102,Jan,2021,Elec- Residential,N,11806,4363098,370,2021-01,0.09096774193548386,58.61290322580645,47.516129032258064
94102,Feb,2021,Elec- Residential,N,11811,3658568,310,2021-02,0.06107142857142857,60.82142857142857,47.57142857142857
94102,Mar,2021,Elec- Residential,N,11828,3962516,335,2021-03,0.05225806451612903,60.03225806451613,46.74193548387097
94102,Apr,2021,Elec- Residential,N,11919,3612290,303,2021-04,0.005666666666666667,59.3,48.266666666666666
94102,May,2021,Elec- Residential,N,12002,3541204,295,2021-05,0.0006451612903225806,61.935483870967744,49.87096774193548
94102,Jun,2021,Elec- Residential,N,12069,3230323,268,2021-06,0.0003333333333333333,65.36666666666666,54.0
94102,Jul,2021,Elec- Residential,N,12176,3316297,272,2021-07,0.0,63.74193548387097,54.12903225806452
94102,Aug,2021,Elec- Residential,N,12277,3339400,272,2021-08,0.0016129032258064516,67.41935483870968,56.645161290322584
94102,Sep,2021,Elec- Residential,N,12332,3242111,263,2021-09,0.0023333333333333335,68.0,55.9
94102,Oct,2021,Elec- Residential,N,12386,3460730,279,2021-10,0.22709677419354837,67.7741935483871,54.41935483870968
94102,Nov,2021,Elec- Residential,N,12412,3423481,276,2021-11,0.042666666666666665,64.73333333333333,52.766666666666666
94102,Dec,2021,Elec- Residential,N,12406,4418830,356,2021-12,0.25516129032258067,55.193548387096776,46.483870967741936
94102,Jan,2022,Elec- Residential,N,12484,4248545,340,2022-01,0.01967741935483871,60.0,48.0
94102,Feb,2022,Elec- Residential,N,12547,3576837,285,2022-02,0.0014285714285714286,63.892857142857146,47.75
94102,Mar,2022,Elec- Residential,N,12591,3815789,303,2022-03,0.015483870967741935,61.0,47.935483870967744
94102,Apr,2022,Elec- Residential,N,12624,3510776,278,2022-04,0.036000000000000004,62.53333333333333,48.93333333333333
94102,May,2022,Elec- Residential,N,12670,3454128,273,2022-05,0.0006451612903225806,64.2258064516129,50.29032258064516
94102,Jun,2022,Elec- Residential,N,12733,3213133,252,2022-06,0.007666666666666667,68.13333333333334,53.43333333333333
94102,Jul,2022,Elec- Residential,N,12763,3323693,260,2022-07,0.0029032258064516127,64.45161290322581,54.61290322580645
94102,Aug,2022,Elec- Residential,N,12837,3283577,256,2022-08,0.0,69.0,57.32258064516129
94102,Sep,2022,Elec- Residential,N,12864,3251567,253,2022-09,0.011333333333333334,72.33333333333333,58.0
94102,Oct,2022,Elec- Residential,N,12878,3496116,271,2022-10,0.0,65.70967741935483,53.903225806451616
94102,Nov,2022,Elec- Residential,N,12850,3839588,299,2022-11,0.04533333333333333,61.9,47.56666666666667
94102,Dec,2022,Elec- Residential,N,12864,4540015,353,2022-12,0.3741935483870968,55.74193548387097,45.903225806451616
94102,Jan,2023,Elec- Residential,N,12894,4529850,351,2023-01,0.2867741935483871,58.225806451612904,47.45161290322581
94102,Feb,2023,Elec- Residential,N,12917,4181551,324,2023-02,0.12357142857142857,56.75,44.214285714285715
94102,Mar,2023,Elec- Residential,N,12939,4453125,344,2023-03,0.22548387096774195,56.96774193548387,45.516129032258064
94102,Apr,2023,Elec- Residential,N,12943,3722219,288,2023-04,0.008,60.96666666666667,47.56666666666667
94102,May,2023,Elec- Residential,N,12996,3562139,274,2023-05,0.039032258064516136,61.516129032258064,51.16129032258065
94102,Jun,2023,Elec- Residential,N,13011,3338000,257,2023-06,0.0003333333333333333,63.46666666666667,53.233333333333334
94102,Jul,2023,Elec- Residential,N,12940,3353413,259,2023-07,0.0,66.45161290322581,53.903225806451616
94102,Aug,2023,Elec- Residential,N,12959,3339949,258,2023-08,0.0,70.90322580645162,57.32258064516129
94102,Sep,2023,Elec- Residential,N,12951,3224557,249,2023-09,0.003666666666666667,68.46666666666667,57.1
94102,Oct,2023,Elec- Residential,N,12929,3453305,267,2023-10,0.007419354838709678,69.82352941176471,54.05882352941177
94102,Nov,2023,Elec- Residential,N,12917,3495446,271,2023-11,0.060000000000000005,64.8,51.80769230769231
94102,Dec,2023,Elec- Residential,N,12894,3942130,306,2023-12,0.15,60.225806451612904,50.12903225806452
94102,Jan,2024,Elec- Residential,N,12897,4134603,321,2024-01,0.21193548387096775,59.32258064516129,49.45161290322581
94102,Feb,2024,Elec- Residential,N,12886,3771663,293,2024-02,0.21620689655172415,60.0,49.310344827586206
94102,Mar,2024,Elec- Residential,N,12897,3754392,291,2024-03,0.12903225806451613,60.58064516129032,50.0
94102,Apr,2024,Elec- Residential,N,12925,3468770,268,2024-04,0.03866666666666667,62.4,49.43333333333333
94102,May,2024,Elec- Residential,N,12938,3391792,262,2024-05,0.0332258064516129,64.61290322580645,50.70967741935484
94102,Jun,2024,Elec- Residential,N,12864,3184065,248,2024-06,0.0,66.28571428571429,52.275862068965516
